SME_LOAN_ID_NO,GENDER,MARITAL_STATUS,FAMILY_MEMBERS,QUALIFICATION,EMPLOYMENT,CANDIDATE_INCOME,GUARANTEE_INCOME,LOAN_AMOUNT,LOAN_DURATION,LOAN_HISTORY,LOAN_LOCATION,LOAN_APPROVAL_STATUS
LP001255,Male,Not Married,0,Graduate,No,3750,0,113,480,1,City,N
LP001256,Male,Not Married,0,Graduate,No,3750,4750,176,360,1,City,N
LP001259,Male,Married,1,Graduate,Yes,1000,3022,110,360,1,City,N
LP001263,Male,Married,3+,Graduate,No,3167,4000,180,300,0,Town,N
LP001264,Male,Married,3+,Under Graduate,Yes,3333,2166,130,360,,Town,Y
LP001265,Female,Not Married,0,Graduate,No,3846,0,111,360,1,Town,Y
LP001266,Male,Married,1,Graduate,Yes,2395,0,,360,1,Town,Y
LP001267,Female,Married,2,Graduate,No,1378,1881,167,360,1,City,N
LP001273,Male,Married,0,Graduate,No,6000,2250,265,360,,Town,N
LP001275,Male,Married,1,Graduate,No,3988,0,50,240,1,City,Y
LP001279,Male,Not Married,0,Graduate,No,2366,2531,136,360,1,Town,Y
LP001280,Male,Married,2,Under Graduate,No,3333,2000,99,360,,Town,Y
LP001282,Male,Married,0,Graduate,No,2500,2118,104,360,1,Town,Y
LP001289,Male,Not Married,0,Graduate,No,8566,0,210,360,1,City,Y
LP001310,Male,Married,0,Graduate,No,5695,4167,175,360,1,Town,Y
LP001316,Male,Married,0,Graduate,No,2958,2900,131,360,1,Town,Y
LP001318,Male,Married,2,Graduate,No,6250,5654,188,180,1,Town,Y
LP001319,Male,Married,2,Under Graduate,No,3273,1820,81,360,1,City,Y
LP001322,Male,Not Married,0,Graduate,No,4133,0,122,360,1,Town,Y
LP001325,Male,Not Married,0,Under Graduate,No,3620,0,25,120,1,Town,Y
LP001326,Male,Not Married,0,Graduate,,6782,0,,360,,City,N
LP001327,Female,Married,0,Graduate,No,2484,2302,137,360,1,Town,Y
LP001333,Male,Married,0,Graduate,No,1977,997,50,360,1,Town,Y
LP001334,Male,Married,0,Under Graduate,No,4188,0,115,180,1,Town,Y
LP001343,Male,Married,0,Graduate,No,1759,3541,131,360,1,Town,Y
LP001345,Male,Married,2,Under Graduate,No,4288,3263,133,180,1,City,Y
LP001349,Male,Not Married,0,Graduate,No,4843,3806,151,360,1,Town,Y
LP001350,Male,Married,,Graduate,No,13650,0,,360,1,City,Y
LP001356,Male,Married,0,Graduate,No,4652,3583,,360,1,Town,Y
LP001357,Male,,,Graduate,No,3816,754,160,360,1,City,Y
LP001367,Male,Married,1,Graduate,No,3052,1030,100,360,1,City,Y
LP001369,Male,Married,2,Graduate,No,11417,1126,225,360,1,City,Y
LP001370,Male,Not Married,0,Under Graduate,,7333,0,120,360,1,Village,N
LP001379,Male,Married,2,Graduate,No,3800,3600,216,360,0,City,N
LP001384,Male,Married,3+,Under Graduate,No,2071,754,94,480,1,Town,Y
LP001385,Male,Not Married,0,Graduate,No,5316,0,136,360,1,City,Y
LP001387,Female,Married,0,Graduate,,2929,2333,139,360,1,Town,Y
LP001391,Male,Married,0,Under Graduate,No,3572,4114,152,,0,Village,N
LP001392,Female,Not Married,1,Graduate,Yes,7451,0,,360,1,Town,Y
LP001398,Male,Not Married,0,Graduate,,5050,0,118,360,1,Town,Y
LP001401,Male,Married,1,Graduate,No,14583,0,185,180,1,Village,Y
LP001404,Female,Married,0,Graduate,No,3167,2283,154,360,1,Town,Y
LP001405,Male,Married,1,Graduate,No,2214,1398,85,360,,City,Y
LP001421,Male,Married,0,Graduate,No,5568,2142,175,360,1,Village,N
LP001422,Female,Not Married,0,Graduate,No,10408,0,259,360,1,City,Y
LP001426,Male,Married,,Graduate,No,5667,2667,180,360,1,Village,Y
LP001430,Female,Not Married,0,Graduate,No,4166,0,44,360,1,Town,Y
LP001431,Female,Not Married,0,Graduate,No,2137,8980,137,360,0,Town,Y
LP001432,Male,Married,2,Graduate,No,2957,0,81,360,1,Town,Y
LP001439,Male,Married,0,Under Graduate,No,4300,2014,194,360,1,Village,Y
LP001443,Female,Not Married,0,Graduate,No,3692,0,93,360,,Village,Y
LP001448,,Married,3+,Graduate,No,23803,0,370,360,1,Village,Y
LP001449,Male,Not Married,0,Graduate,No,3865,1640,,360,1,Village,Y
LP001451,Male,Married,1,Graduate,Yes,10513,3850,160,180,0,City,N
LP001465,Male,Married,0,Graduate,No,6080,2569,182,360,,Village,N
LP001469,Male,Not Married,0,Graduate,Yes,20166,0,650,480,,City,Y
LP001473,Male,Not Married,0,Graduate,No,2014,1929,74,360,1,City,Y
LP001478,Male,Not Married,0,Graduate,No,2718,0,70,360,1,Town,Y
LP001482,Male,Married,0,Graduate,Yes,3459,0,25,120,1,Town,Y
LP001487,Male,Not Married,0,Graduate,No,4895,0,102,360,1,Town,Y
LP001488,Male,Married,3+,Graduate,No,4000,7750,290,360,1,Town,N
LP001489,Female,Married,0,Graduate,No,4583,0,84,360,1,Village,N
LP001491,Male,Married,2,Graduate,Yes,3316,3500,88,360,1,City,Y
LP001492,Male,Not Married,0,Graduate,No,14999,0,242,360,0,Town,N
LP001493,Male,Married,2,Under Graduate,No,4200,1430,129,360,1,Village,N
LP001497,Male,Married,2,Graduate,No,5042,2083,185,360,1,Village,N
LP001498,Male,Not Married,0,Graduate,No,5417,0,168,360,1,City,Y
LP001504,Male,Not Married,0,Graduate,Yes,6950,0,175,180,1,Town,Y
LP001507,Male,Married,0,Graduate,No,2698,2034,122,360,1,Town,Y
LP001508,Male,Married,2,Graduate,No,11757,0,187,180,1,City,Y
LP001514,Female,Married,0,Graduate,No,2330,4486,100,360,1,Town,Y
LP001516,Female,Married,2,Graduate,No,14866,0,70,360,1,City,Y
LP001518,Male,Married,1,Graduate,No,1538,1425,30,360,1,City,Y
LP001519,Female,Not Married,0,Graduate,No,10000,1666,225,360,1,Village,N
LP001520,Male,Married,0,Graduate,No,4860,830,125,360,1,Town,Y
LP001528,Male,Not Married,0,Graduate,No,6277,0,118,360,0,Village,N
LP001529,Male,Married,0,Graduate,Yes,2577,3750,152,360,1,Village,Y
LP001531,Male,Not Married,0,Graduate,No,9166,0,244,360,1,City,N
LP001532,Male,Married,2,Under Graduate,No,2281,0,113,360,1,Village,N
LP001535,Male,Not Married,0,Graduate,No,3254,0,50,360,1,City,Y
LP001536,Male,Married,3+,Graduate,No,39999,0,600,180,0,Town,Y
LP001541,Male,Married,1,Graduate,No,6000,0,160,360,,Village,Y
LP001543,Male,Married,1,Graduate,No,9538,0,187,360,1,City,Y
LP001546,Male,Not Married,0,Graduate,,2980,2083,120,360,1,Village,Y
LP001552,Male,Married,0,Graduate,No,4583,5625,255,360,1,Town,Y
LP001560,Male,Married,0,Under Graduate,No,1863,1041,98,360,1,Town,Y
LP001562,Male,Married,0,Graduate,No,7933,0,275,360,1,City,N
LP001565,Male,Married,1,Graduate,No,3089,1280,121,360,0,Town,N
LP001570,Male,Married,2,Graduate,No,4167,1447,158,360,1,Village,Y
LP001572,Male,Married,0,Graduate,No,9323,0,75,180,1,City,Y
LP001574,Male,Married,0,Graduate,No,3707,3166,182,,1,Village,Y
LP001577,Female,Married,0,Graduate,No,4583,0,112,360,1,Village,N
LP001578,Male,Married,0,Graduate,No,2439,3333,129,360,1,Village,Y
LP001579,Male,Not Married,0,Graduate,No,2237,0,63,480,0,Town,N
LP001580,Male,Married,2,Graduate,No,8000,0,200,360,1,Town,Y
LP001581,Male,Married,0,Under Graduate,,1820,1769,95,360,1,Village,Y
LP001585,,Married,3+,Graduate,No,51763,0,700,300,1,City,Y
LP001586,Male,Married,3+,Under Graduate,No,3522,0,81,180,1,Village,N
LP001594,Male,Married,0,Graduate,No,5708,5625,187,360,1,Town,Y
LP001603,Male,Married,0,Under Graduate,Yes,4344,736,87,360,1,Town,N
LP001606,Male,Married,0,Graduate,No,3497,1964,116,360,1,Village,Y
LP001608,Male,Married,2,Graduate,No,2045,1619,101,360,1,Village,Y
LP001610,Male,Married,3+,Graduate,No,5516,11300,495,360,0,Town,N
LP001616,Male,Married,1,Graduate,No,3750,0,116,360,1,Town,Y
LP001630,Male,Not Married,0,Under Graduate,No,2333,1451,102,480,0,City,N
LP001633,Male,Married,1,Graduate,No,6400,7250,180,360,0,City,N
LP001634,Male,Not Married,0,Graduate,No,1916,5063,67,360,,Village,N
LP001636,Male,Married,0,Graduate,No,4600,0,73,180,1,Town,Y
LP001637,Male,Married,1,Graduate,No,33846,0,260,360,1,Town,N
LP001639,Female,Married,0,Graduate,No,3625,0,108,360,1,Town,Y
LP001640,Male,Married,0,Graduate,Yes,39147,4750,120,360,1,Town,Y
LP001641,Male,Married,1,Graduate,Yes,2178,0,66,300,0,Village,N
LP001643,Male,Married,0,Graduate,No,2383,2138,58,360,,Village,Y
LP001644,,Married,0,Graduate,Yes,674,5296,168,360,1,Village,Y
LP001647,Male,Married,0,Graduate,No,9328,0,188,180,1,Village,Y
LP001653,Male,Not Married,0,Under Graduate,No,4885,0,48,360,1,Village,Y
LP001656,Male,Not Married,0,Graduate,No,12000,0,164,360,1,Town,N
LP001657,Male,Married,0,Under Graduate,No,6033,0,160,360,1,City,N
LP001658,Male,Not Married,0,Graduate,No,3858,0,76,360,1,Town,Y
LP001664,Male,Not Married,0,Graduate,No,4191,0,120,360,1,Village,Y
LP001665,Male,Married,1,Graduate,No,3125,2583,170,360,1,Town,N
LP001666,Male,Not Married,0,Graduate,No,8333,3750,187,360,1,Village,Y
LP001669,Female,Not Married,0,Under Graduate,No,1907,2365,120,,1,City,Y
LP001671,Female,Married,0,Graduate,No,3416,2816,113,360,,Town,Y
LP001673,Male,Not Married,0,Graduate,Yes,11000,0,83,360,1,City,N
LP001674,Male,Married,1,Under Graduate,No,2600,2500,90,360,1,Town,Y
LP001677,Male,Not Married,2,Graduate,No,4923,0,166,360,0,Town,Y
LP001682,Male,Married,3+,Under Graduate,No,3992,0,,180,1,City,N
LP001688,Male,Married,1,Under Graduate,No,3500,1083,135,360,1,City,Y
LP001691,Male,Married,2,Under Graduate,No,3917,0,124,360,1,Town,Y
LP001692,Female,Not Married,0,Under Graduate,No,4408,0,120,360,1,Town,Y
LP001693,Female,Not Married,0,Graduate,No,3244,0,80,360,1,City,Y
LP001698,Male,Not Married,0,Under Graduate,No,3975,2531,55,360,1,Village,Y
LP001699,Male,Not Married,0,Graduate,No,2479,0,59,360,1,City,Y
LP001702,Male,Not Married,0,Graduate,No,3418,0,127,360,1,Town,N
LP001708,Female,Not Married,0,Graduate,No,10000,0,214,360,1,Town,N
LP001711,Male,Married,3+,Graduate,No,3430,1250,128,360,0,Town,N
LP001713,Male,Married,1,Graduate,Yes,7787,0,240,360,1,City,Y
LP001715,Male,Married,3+,Under Graduate,Yes,5703,0,130,360,1,Village,Y
LP001716,Male,Married,0,Graduate,No,3173,3021,137,360,1,City,Y
LP001720,Male,Married,3+,Under Graduate,No,3850,983,100,360,1,Town,Y
LP001722,Male,Married,0,Graduate,No,150,1800,135,360,1,Village,N
LP001726,Male,Married,0,Graduate,No,3727,1775,131,360,1,Town,Y
LP001732,Male,Married,2,Graduate,,5000,0,72,360,0,Town,N
LP001734,Female,Married,2,Graduate,No,4283,2383,127,360,,Town,Y
LP001736,Male,Married,0,Graduate,No,2221,0,60,360,0,City,N
LP001743,Male,Married,2,Graduate,No,4009,1717,116,360,1,Town,Y
LP001744,Male,Not Married,0,Graduate,No,2971,2791,144,360,1,Town,Y
LP001749,Male,Married,0,Graduate,No,7578,1010,175,,1,Town,Y
LP001750,Male,Married,0,Graduate,No,6250,0,128,360,1,Town,Y
LP001751,Male,Married,0,Graduate,No,3250,0,170,360,1,Village,N
LP001754,Male,Married,,Under Graduate,Yes,4735,0,138,360,1,City,N
LP001758,Male,Married,2,Graduate,No,6250,1695,210,360,1,Town,Y
LP001760,Male,,,Graduate,No,4758,0,158,480,1,Town,Y
LP001761,Male,Not Married,0,Graduate,Yes,6400,0,200,360,1,Village,Y
LP001765,Male,Married,1,Graduate,No,2491,2054,104,360,1,Town,Y
LP001768,Male,Married,0,Graduate,,3716,0,42,180,1,Village,Y
LP001770,Male,Not Married,0,Under Graduate,No,3189,2598,120,,1,Village,Y
LP001776,Female,Not Married,0,Graduate,No,8333,0,280,360,1,Town,Y
LP001778,Male,Married,1,Graduate,No,3155,1779,140,360,1,Town,Y
LP001784,Male,Married,1,Graduate,No,5500,1260,170,360,1,Village,Y
LP001786,Male,Married,0,Graduate,,5746,0,255,360,,City,N
LP001788,Female,Not Married,0,Graduate,Yes,3463,0,122,360,,City,Y
LP001790,Female,Not Married,1,Graduate,No,3812,0,112,360,1,Village,Y
LP001792,Male,Married,1,Graduate,No,3315,0,96,360,1,Town,Y
LP001798,Male,Married,2,Graduate,No,5819,5000,120,360,1,Village,Y
LP001800,Male,Married,1,Under Graduate,No,2510,1983,140,180,1,City,N
LP001806,Male,Not Married,0,Graduate,No,2965,5701,155,60,1,City,Y
LP001807,Male,Married,2,Graduate,Yes,6250,1300,108,360,1,Village,Y
LP001811,Male,Married,0,Under Graduate,No,3406,4417,123,360,1,Town,Y
LP001813,Male,Not Married,0,Graduate,Yes,6050,4333,120,180,1,City,N
LP001814,Male,Married,2,Graduate,No,9703,0,112,360,1,City,Y
LP001819,Male,Married,1,Under Graduate,No,6608,0,137,180,1,City,Y
LP001824,Male,Married,1,Graduate,No,2882,1843,123,480,1,Town,Y
LP001825,Male,Married,0,Graduate,No,1809,1868,90,360,1,City,Y
LP001835,Male,Married,0,Under Graduate,No,1668,3890,201,360,0,Town,N
LP001836,Female,Not Married,2,Graduate,No,3427,0,138,360,1,City,N
LP001841,Male,Not Married,0,Under Graduate,Yes,2583,2167,104,360,1,Village,Y
LP001843,Male,Married,1,Under Graduate,No,2661,7101,279,180,1,Town,Y
LP001844,Male,Not Married,0,Graduate,Yes,16250,0,192,360,0,City,N
LP001846,Female,Not Married,3+,Graduate,No,3083,0,255,360,1,Village,Y
LP001849,Male,Not Married,0,Under Graduate,No,6045,0,115,360,0,Village,N
LP001854,Male,Married,3+,Graduate,No,5250,0,94,360,1,City,N
LP001859,Male,Married,0,Graduate,No,14683,2100,304,360,1,Village,N
LP001864,Male,Married,3+,Under Graduate,No,4931,0,128,360,,Town,N
LP001865,Male,Married,1,Graduate,No,6083,4250,330,360,,City,Y
LP001868,Male,Not Married,0,Graduate,No,2060,2209,134,360,1,Town,Y
LP001870,Female,Not Married,1,Graduate,No,3481,0,155,36,1,Town,N
LP001871,Female,Not Married,0,Graduate,No,7200,0,120,360,1,Village,Y
LP001872,Male,Not Married,0,Graduate,Yes,5166,0,128,360,1,Town,Y
LP001875,Male,Not Married,0,Graduate,No,4095,3447,151,360,1,Village,Y
LP001877,Male,Married,2,Graduate,No,4708,1387,150,360,1,Town,Y
LP001882,Male,Married,3+,Graduate,No,4333,1811,160,360,0,City,Y
LP001883,Female,Not Married,0,Graduate,,3418,0,135,360,1,Village,N
LP001884,Female,Not Married,1,Graduate,No,2876,1560,90,360,1,City,Y
LP001888,Female,Not Married,0,Graduate,No,3237,0,30,360,1,City,Y
LP001891,Male,Married,0,Graduate,No,11146,0,136,360,1,City,Y
LP001892,Male,Not Married,0,Graduate,No,2833,1857,126,360,1,Village,Y
LP001894,Male,Married,0,Graduate,No,2620,2223,150,360,1,Town,Y
LP001896,Male,Married,2,Graduate,No,3900,0,90,360,1,Town,Y
LP001900,Male,Married,1,Graduate,No,2750,1842,115,360,1,Town,Y
LP001903,Male,Married,0,Graduate,No,3993,3274,207,360,1,Town,Y
LP001904,Male,Married,0,Graduate,No,3103,1300,80,360,1,City,Y
LP001907,Male,Married,0,Graduate,No,14583,0,436,360,1,Town,Y
LP001908,Female,Married,0,Under Graduate,No,4100,0,124,360,,Village,Y
LP001910,Male,Not Married,1,Under Graduate,Yes,4053,2426,158,360,0,City,N
LP001914,Male,Married,0,Graduate,No,3927,800,112,360,1,Town,Y
LP001915,Male,Married,2,Graduate,No,2301,985.7999878,78,180,1,City,Y
LP001917,Female,Not Married,0,Graduate,No,1811,1666,54,360,1,City,Y
LP001922,Male,Married,0,Graduate,No,20667,0,,360,1,Village,N
LP001924,Male,Not Married,0,Graduate,No,3158,3053,89,360,1,Village,Y
LP001925,Female,Not Married,0,Graduate,Yes,2600,1717,99,300,1,Town,N
LP001926,Male,Married,0,Graduate,No,3704,2000,120,360,1,Village,Y
LP001931,Female,Not Married,0,Graduate,No,4124,0,115,360,1,Town,Y
LP001935,Male,Not Married,0,Graduate,No,9508,0,187,360,1,Village,Y
LP001936,Male,Married,0,Graduate,No,3075,2416,139,360,1,Village,Y
LP001938,Male,Married,2,Graduate,No,4400,0,127,360,0,Town,N
LP001940,Male,Married,2,Graduate,No,3153,1560,134,360,1,City,Y
LP001945,Female,Not Married,,Graduate,No,5417,0,143,480,0,City,N
LP001947,Male,Married,0,Graduate,No,2383,3334,172,360,1,Town,Y
LP001949,Male,Married,3+,Graduate,,4416,1250,110,360,1,City,Y
LP001953,Male,Married,1,Graduate,No,6875,0,200,360,1,Town,Y
LP001954,Female,Married,1,Graduate,No,4666,0,135,360,1,City,Y
LP001955,Female,Not Married,0,Graduate,No,5000,2541,151,480,1,Village,N
LP001963,Male,Married,1,Graduate,No,2014,2925,113,360,1,City,N
LP001964,Male,Married,0,Under Graduate,No,1800,2934,93,360,0,City,N
LP001972,Male,Married,,Under Graduate,No,2875,1750,105,360,1,Town,Y
LP001974,Female,Not Married,0,Graduate,No,5000,0,132,360,1,Village,Y
LP001977,Male,Married,1,Graduate,No,1625,1803,96,360,1,City,Y
LP001978,Male,Not Married,0,Graduate,No,4000,2500,140,360,1,Village,Y
LP001990,Male,Not Married,0,Under Graduate,No,2000,0,,360,1,City,N
LP001993,Female,Not Married,0,Graduate,No,3762,1666,135,360,1,Village,Y
LP001994,Female,Not Married,0,Graduate,No,2400,1863,104,360,0,City,N
LP001996,Male,Not Married,0,Graduate,No,20233,0,480,360,1,Village,N
LP001998,Male,Married,2,Under Graduate,No,7667,0,185,360,,Village,Y
LP002002,Female,Not Married,0,Graduate,No,2917,0,84,360,1,Town,Y
LP002004,Male,Not Married,0,Under Graduate,No,2927,2405,111,360,1,Town,Y
LP002006,Female,Not Married,0,Graduate,No,2507,0,56,360,1,Village,Y
LP002008,Male,Married,2,Graduate,Yes,5746,0,144,84,,Village,Y
LP002024,,Married,0,Graduate,No,2473,1843,159,360,1,Village,N
LP002031,Male,Married,1,Under Graduate,No,3399,1640,111,180,1,City,Y
LP002035,Male,Married,2,Graduate,No,3717,0,120,360,1,Town,Y
LP002036,Male,Married,0,Graduate,No,2058,2134,88,360,,City,Y
LP002043,Female,Not Married,1,Graduate,No,3541,0,112,360,,Town,Y
LP002050,Male,Married,1,Graduate,Yes,10000,0,155,360,1,Village,N
LP002051,Male,Married,0,Graduate,No,2400,2167,115,360,1,Town,Y
LP002053,Male,Married,3+,Graduate,No,4342,189,124,360,1,Town,Y
LP002054,Male,Married,2,Under Graduate,No,3601,1590,,360,1,Village,Y
LP002055,Female,Not Married,0,Graduate,No,3166,2985,132,360,,Village,Y
LP002065,Male,Married,3+,Graduate,No,15000,0,300,360,1,Village,Y
LP002067,Male,Married,1,Graduate,Yes,8666,4983,376,360,0,Village,N
LP002068,Male,Not Married,0,Graduate,No,4917,0,130,360,0,Village,Y
LP002082,Male,Married,0,Graduate,Yes,5818,2160,184,360,1,Town,Y
LP002086,Female,Married,0,Graduate,No,4333,2451,110,360,1,City,N
LP002087,Female,Not Married,0,Graduate,No,2500,0,67,360,1,City,Y
LP002097,Male,Not Married,1,Graduate,No,4384,1793,117,360,1,City,Y
LP002098,Male,Not Married,0,Graduate,No,2935,0,98,360,1,Town,Y
LP002100,Male,Not Married,,Graduate,No,2833,0,71,360,1,City,Y
LP002101,Male,Married,0,Graduate,,63337,0,490,180,1,City,Y
LP002103,,Married,1,Graduate,Yes,9833,1833,182,180,1,City,Y
LP002106,Male,Married,,Graduate,Yes,5503,4490,70,,1,Town,Y
LP002110,Male,Married,1,Graduate,,5250,688,160,360,1,Village,Y
LP002112,Male,Married,2,Graduate,Yes,2500,4600,176,360,1,Village,Y
LP002113,Female,Not Married,3+,Under Graduate,No,1830,0,,360,0,City,N
LP002114,Female,Not Married,0,Graduate,No,4160,0,71,360,1,Town,Y
LP002115,Male,Married,3+,Under Graduate,No,2647,1587,173,360,1,Village,N
LP002116,Female,Not Married,0,Graduate,No,2378,0,46,360,1,Village,N
LP002119,Male,Married,1,Under Graduate,No,4554,1229,158,360,1,City,Y
LP002126,Male,Married,3+,Under Graduate,No,3173,0,74,360,1,Town,Y
LP002128,Male,Married,2,Graduate,,2583,2330,125,360,1,Village,Y
LP002129,Male,Married,0,Graduate,No,2499,2458,160,360,1,Town,Y
LP002130,Male,Married,,Under Graduate,No,3523,3230,152,360,0,Village,N
LP002131,Male,Married,2,Under Graduate,No,3083,2168,126,360,1,City,Y
LP002137,Male,Married,0,Graduate,No,6333,4583,259,360,,Town,Y
LP002138,Male,Married,0,Graduate,No,2625,6250,187,360,1,Village,Y
LP002139,Male,Married,0,Graduate,No,9083,0,228,360,1,Town,Y
LP002140,Male,Not Married,0,Graduate,No,8750,4167,308,360,1,Village,N
LP002141,Male,Married,3+,Graduate,No,2666,2083,95,360,1,Village,Y
LP002142,Female,Married,0,Graduate,Yes,5500,0,105,360,0,Village,N
LP002143,Female,Married,0,Graduate,No,2423,505,130,360,1,Town,Y
LP002144,Female,Not Married,,Graduate,No,3813,0,116,180,1,City,Y
LP002149,Male,Married,2,Graduate,No,8333,3167,165,360,1,Village,Y
LP002151,Male,Married,1,Graduate,No,3875,0,67,360,1,City,N
LP002158,Male,Married,0,Under Graduate,No,3000,1666,100,480,0,City,N
LP002160,Male,Married,3+,Graduate,No,5167,3167,200,360,1,Town,Y
